"","Date","Type","Dead","Injured","Location","Details","Perpetrator","Part of","Month"
"106","26","Attack","2","5","Garissa County, Kenya","Al-Shabaab militants attacked two police patrols which turned into a gun battle north of Garissa, 5 police officers were injured but they were able to kill both of the attackers.[107]","Al-Shabaab","War in Somalia",5
"107","28","Car bomb","10","30","Baghdad, Iraq","Two car bombs were set off minutes apart targeting the Cristal Grand Ishtar Hotel and the Babylon, two luxury hotels, in Baghdad. Ten were killed with thirty reported wounded. ISIL claimed responsibility for the attacks.[108]","ISIL","Iraq War",5
"108","29","Suicide bombing","4","Unknown","Dammam, Saudi Arabia","A suicide bomber attacked a Shia mosque in Dammam detonating the bomb in the parking lot. Four were killed along with an unknown number wounded. ISIL claimed responsibility for the attack.[109]","ISIL","",5
"109","29","Suicide bombing","2","5","Lahore, Pakistan","A suicide bomber riding in a rickshaw blew himself up, killing a policeman and injuring four policemen and a civilian near Gaddafi Stadium, Lahore. The blast took place at 9pm while an international cricket match was being played at the stadium between Pakistan and Zimbabwe.[110]","Unknown","War in North-West Pakistan",5
"110","29","Attack","21","0","Mastung, Pakistan","Unknown militants attacked two Karachi-bound buses in Mastung, killed 21 people, abducted several others and set the buses ablaze.[111]","Unknown","Balochestan conflict",5
"111","29","bombing","0","16","Jolo, Philippines","Two bombs exploded outside a mosque at the compound of Police Superintendent Julasirim Kasim in Barangay Asturias, Jolo, Sulu, Philippines. At least 11 police officers and 5 civilians were injured in the attack. The Injured were taken to the public hospital in Zamboanga City for medical treatment.[112]","Abu Sayyaf (suspected)","Moro conflict",5
"112","1","Suicide bombing","41","63","Randi, Iraq","Three suicide bombers in humvees attacked an Iraqi police station in the Tharthar region in Northern Anbar Province. Forty-one security forces were killed along with an sixty-three members wounded. ISIL claimed responsibility for the attack.[113]","ISIL","Iraq War",6
"113","4","Ambush","20","11","Manipur, India","The attack, in the Chandel district of Manipur State close to the border with Myanmar, was carried out against a small convoy of army vehicles traveling from one army camp to another in the hilly and forested area about 60 miles south of the state capital, Imphal.[114]","Unknown","Insurgency in Northeast India",6
"114","8","Suicide bombing, shooting","7 (+19)","","North Waziristan, Pakistan","19 militants and seven soldiers were killed by suicide bombing and exchange of gunfire in North Waziristan, Pakistan.[115]","Unknown","War in North-West Pakistan",6
"115","11","Shooting","2","6","Peshawar, Pakistan","Two policemen were killed in an attack by pro-Taliban militants in Peshawar, Khyber Pakhtunkhwa, Pakistan.[116]","Pakistani Taliban","War in North-West Pakistan",6
"116","13","Suicide bombing","11","27","Hajjaj, Iraq","Four suicide SUV car bombs went off in an Iraqi police station in the Hajjaj near Tikrit and Baiji. Eleven security forces were killed along with an twenty-seven members wounded. ISIL claimed responsibility for the attack.[117]","ISIL","Iraq War",6
"117","15","Suicide bombing","23","100","N'Djamena, Chad","Suicide bombers on motorcycles detonated themselves near police headquarters[118] in N'Djamena on the 15th.[119]","Boko Haram (suspected)","Boko Haram insurgency",6
"118","17","Shooting","9","1","Charleston, South Carolina, United States","Charleston church shooting: White supremacist Dylann Roof shot and killed nine black people during a Bible study at the Emanuel African Methodist Episcopal Church in an attempt to spark a race war.[120][121][122][123][124]","Dylann Roof
(lone wolf)","",6
"119","17","Raid","38","0","Diffa Region, Niger","At least 38 people were killed by Boko Haram militants in raids on two villages (Ungumawo and Lamina) in Niger's Diffa Region.[125]","Boko Haram","Boko Haram insurgency",6
"120","17","Bombing","63","","Monguno, Nigeria","A large sack containing homemade bombs exploded in Monguno, Nigeria, causing 63 deaths.[126]","Boko Haram","Boko Haram insurgency",6
"121","22","Car bomb, Shooting","9","40","Kabul, Afghanistan","Kabul Parliament attack: On 22 June 2015, the Taliban detonated a car bomb outside the National Assembly in Kabul, and Taliban fighters attempted to storm the building. Taliban spokesman Zabihullah Mujahid claimed responsibility for the attack, saying that it was timed to coincide with a parliamentary speech of the new defense minister Mohammed Masoom Stanekzai.","Taliban","War in Afghnistan",6
"122","22–23","Shooting","42","0","Borno, Nigeria","More than 42 people are shot dead by suspected Boko Haram gunmen in two attacks on villages in Nigeria's Borno state.","Boko Haram","Boko Haram insurgency",6
"123","23","Suicide bombing","10","0","Gujba, Nigeria","A young female suicide bomber (around 12 years of age) killed 10 people in Gujba, Yobe State, Nigeria.[127]","Unknown","Boko Haram insurgency",6
"124","23","Suicide bombing","30","0","Maiduguri, Nigeria","Two female suicide bombers blew themselves up near a crowded mosque in Maiduguri, Nigeria, causing at least 30 deaths.[128]","Boko Haram (suspected)","Boko Haram insurgency",6
"125","24","Suicide bombing","6","6","Mogadishu, Somalia","Al Shabaab militants killed at least six people and injured another six in a suicide car bomb attack on a UAE relief convoy in Mogadishu. Out of the killed, four were civilians, and no UAE official was hurt in the attack.[129]","Al Shabaab","Somali Civil War",6
"126","25-29","Massacre, Suicide bombing, Hostage-taking","223-233","300+","Barkh Butan, Kobani, Syria","Kobanî massacre: On 25 June 2015, ISIL bombers detonated three car bombs in Kobanî, close to the Turkish border crossing.","ISIL","Syrian Civil War",6
"127","25","Bombing, Mass shooting","8","24","Baghdad, Iraq","Five separate bombings and a shooting incident in Baghdad killed at least eight and injured more than two dozen people.[130]","ISIL (suspected)","Iraq War",6
"128","26","Suicide bombing","20","0","Hasakeh, Syria","An ISIL suicide bomber killed at least 20 people in the city of Hasakeh.","ISIL","Syrian Civil War",6
"129","26","Bombing, Beheading","1","12","Saint-Quentin-Fallavier, France","Saint-Quentin-Fallavier attack: Two attackers decapitated one person and blew up a gas canister in a factory in Saint-Quentin-Fallavier, near Lyon. One person was killed and twelve were injured. The attacker wrote unknown Arabic writings on the head and placed it near the entrance of the factory. The attackers claimed association with an Islamist organisation, leaving a flag behind. One attacker was killed and the other arrested.[131]","ISIL","Iraq War",6
"130","26","Suicide bombing","27","227","Kuwait City, Kuwait","At least 27 people are killed and another 227 were injured after a suicide bombing at the Imam Sadiq mosque in Kuwait City, Kuwait.[132] Kuwait mosque bombing","ISIL","",6
"131","26","Mass shooting","38","40","Sousse, Tunisia","Sousse attacks: In the Tunisian town of Sousse, 38 people (mostly Western tourists, with the majority being British) were killed by armed gunmen. ISIL claimed responsibility.[133] The main gunman was killed in an exchange of gunfire with the army and armed police.","ISIL","",6
"132","26","Attack","70","27","Leego, Somalia","Al Shabaab militants attack an African Union base in the Leego district of Somalia and kills more than 70 African Union soldiers and seizes control of their military base.[134]","Al Shabaab","Somali Civil War",6
"133","27","Shooting","3 (+8)","0","Nara, Mali","Suspected Islamist militants attacked an army base in Nara, Mali leaving three soldiers and eight attackers dead.","Unknown","Insurgency in the Maghreb",6
"134","27","Bombing","12","34","Baghdad, Iraq","A series of bombs across Baghdad killed at least 12 people and injured 34 people. ISIL is suspected to be responsible for the attacks.[130]","ISIL (suspected)","Iraq War",6
"135","28","Suicide bombing","5","15","Maiduguri, Nigeria","Two female suicide bombers blew themselves up causing at least five deaths and injuries to 15 others near a hospital in Maiduguri, Nigeria.[135]","Boko Haram (suspected)","Boko Haram insurgency",6
"136","29","Bombing","11","0","N'Djamena, Chad","Five Chadian security officials and six militants was killed during an explosion in a raid in the capital N'Djamena.","Unknown","",6
"137","29","Car bomb","28","0","Sana'a, Yemen","A car bomb explodes behind a military hospital in the Yemeni capital Sanaa causing 28 casualties. ISIL has claimed responsibility.","ISIL","Iraq War",6
"138","29","Shooting","1","3","Shilo, West Bank","2015 Shvut Rachel shooting: Four Israelis were shot and injured in a drive-by shooting attack near Shilo. One of them died in hospital in the day after. The PFLP and Hamas both claimed responsibility for the act, but official investigation attributed the shooting to Hamas.[136][137]","PFLP","Israeli-Palestinian conflict",6
"139","29","Car bomb","1","4","Cairo, Egypt","Assassination of Hisham Barakat: Egypt's state prosecutor Hisham Barakat was killed by a remotely detonated car bomb in Cairo, Egypt. Two civilians and two police officers were injured by the attack.[138]","Unknown","",6
"140","30","Suicide bombing","2","51","Lashkar Gah, Afghanistan","A suicide car bomb near the police headquarters in Lashkar Gah, Afghanistan killed two civilians and injured 51.[139]","Unknown","War in Afghanistan",6
"141","30","Suicide bombing","1","22","Kabul, Afghanistan","A suicide car bomb targeting an international convoy killed one civilian and wounded 22 others in Kabul, Afghanistan. Taliban claimed responsibility for the attack.[139]","Taliban","War in Afghanistan",6
"142","1","Attack","21","9","North Sinai, Egypt","July Sinai attacks: Militants from the IS-affiliated Wilayat Sayna organization simultaneously attacked 21 Egyptian security positions in North Sinai in attempt to establish territorial control over those territories. Militants detonated two suicide car bombs in Sheikh Zuweid targeting two military barriers and then besieged a police station in Sheikh Zuweid and clashed with Egyptian forces in Sheikh Zuweid and Rafah. Militants also attacked and shelled minor security positions across North Sinai and claimed it had detonated a suicide car bomb in Arish but no media or official reports confirmed that.[1] The attacks left 21 Egpytians dead and 9 wounded.","Wilayat Sayna
(Islamic State)","Sinai Insurgency",7
"143","1–2","Massacre","145","17","Kukawa, Nigeria","Kukawa, Nigeria Massacre: Boko Haram militants attacked multiple mosques between July 1 and 2. 84 men and boys were killed on the 1st at one mosque in Kukawa. 17 were wounded in the attack. 97 others, mostly men, were killed in numerous mosques on the 2nd with a number of women and young girls killed in their homes. An unknown number were wounded. Boko Haram claimed responsibility.[2]","Boko Haram","Boko Haram insurgency",7
"144","4","Car bombing","10","Unknown","Derna, Libya","Three car bombs killed ten civilians in the city of Derna, Libya. An unknown number were wounded. Bombings occurred during clashes between Islamic State and Al-Qaeda militants. Responsibility for the bombings is unknown.[3]","Unknown","Libyan Civil War",7
"145","4","Bombing","7","9","Waziristan, Pakistan","Three separate attacks in Pir Ghr, North Waziristan and South Waziristan claimed the lives of seven soldiers and injured nine others. Tehrik-i-Taliban Pakistan claimed responsibility for the attack.[4]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan",7
"146","5","Bombing","69","67+","Jos and Potiskum, Nigeria","Boko Haram set off bombs at a mosque and restaurant in Jos. Fifty-one were killed along with 67 injured. In Potiskum, militants killed six in a suicide bombing. Later militants killed nine people and burned thirty-two churches and three hundred houses in cities in the Northeast. Boko Haram claimed responsibility for the attacks.[5]","Boko Haram","Boko Haram insurgency",7
"147","4–5","Raid","26","","Lake Chad, Chad","Boko Haram raided two villages on Lake Chad (Merom and Tiskra) on 4 and 5 July and killed 13 people in each attack. The militants slit the throats of their victims and burned down houses, before fleeing.[6]","Boko Haram","Boko Haram insurgency",7
"148","7","Suicide bombing","25","32","Zaria, Nigeria","A suspected suicide bomber blow himself up outside of an government building in the city of Zaria. Twenty-five were killed and thirty-two injured in the bombing. Boko Haram claimed responsibility for the attacks.[7]","Boko Haram","Boko Haram insurgency",7
"149","7","Mass shooting","14","0","Mandera, Kenya","Fourteen quarry workers were ambushed and killed in the city of Mandera. Christians were targeted in the attack, killing ten, letting Muslims escape. No wounded were reported during the attack. Al Shabaab militants claimed responsibility, mirroring previous attacks.[8]","Al Shabaab","Somali Civil War",7
"150","8","Beheading","3","","Faryab Province, Afghanistan","Three policemen who were abducted by Taliban a few days ago were found beheaded on 8 July on the Qaisar-Ghormach highway in Faryab Province of Afghanistan.[9]","Taliban","War in Afghanistan",7
"151","9","Execution","5","","Bosso, Niger","Boko Haram militants slit the throats of five civilians in Dagaya, a village near Bosso, Niger.[10]","Boko Haram","Boko Haram insurgency",7
"152","10","Raid","11","","Ngamdu, Nigeria","Boko Haram militants raided the village of Ngamdu, Nigeria and killed 11 people.[11]","Boko Haram","Boko Haram insurgency",7
"153","10","Raid","43","","Monguno, Nigeria","Boko Haram militants raided three villages in Monguno (Kalwa, Misala and Gwollam) and killed 43 people by either slitting their throats or gunshots. After the killings, the militants burned down houses in the villages.[12]","Boko Haram","Boko Haram insurgency",7
"154","11","Bombing","4","1","Maiduguri, Nigeria","A tricycle exploded near the office of the department of state security in Maiduguri, killing four passengers and injuring an onlooker.[13]","Boko Haram","Boko Haram insurgency",7
"155","11","Suicide bombing","15","80","N'Djamena, Chad","A man disguised as a woman in a full-face veil killed 15 people and injured 80 in a suicide bombing in N'Djamena, Chad.[11]","Boko Haram","Boko Haram insurgency",7
"156","11","Car bomb","1","9","Cairo, Egypt","A car bombing outside the Italian consulate in Cairo killed one person, wounded nine others and resulted in widespread damage and flooding. Islamic State claimed responsibility for the attack.[14] See Bombing of the Cairo Italian Consulate","Islamic State","Sinai Insurgency",7
"157","12","Car bomb, suicide bombing","29","81","Baghdad, Iraq","A series of bombs across Baghdad on 12 July killed at least 29 people and wounded 81 others.[15] Islamic State claimed responsibility for the attacks.","Islamic State","Iraq War",7
"158","12","Raid","4","","Diffa, Niger","Boko Haram militants raided a prison in Diffa and killed a prison guard, before three of the militants were killed.[16]","Boko Haram","Boko Haram insurgency",7
"159","13","Suicide bombing","33","10","Khost Province","Suicide bombing killed at least 33 people and another 10 were injured in Khost Province.[17]","Unknown","War in Afghanistan",7
"160","13","Suicide bombing","33","10","Fotokol, Cameroon","At least 12 people die in suicide attacks in a town of Fotokol.[18]","Boko Haram","Boko Haram insurgency in Cameroon",7
"161","15","Attack","33","unknown","Borno State, Nigeria","Boko Haram killed at least 33 people in three separate attacks in the northeast part of the country.[19]","Boko Haram","Boko Haram insurgency",7
"162","15","Melee attack","0","1","Nahliel, West Bank","Twenty-two-year-old Ruan Abu Matar approached a military post near the Israeli Settlement of Nahliel in the West Bank and stabbed a soldier leaving him in a light-to-moderate condition.[20]","Ruan Abu Matar
(lone wolf)","Israeli-Palestinian conflict",7
"163","16","Car bombing","1","2","Riyadh, Saudi Arabia","At least 1 person died and another 2 were wounded in car bombing in Riyadh.[21]","Islamic State","",7
"164","16","Ambush","2","0","Narathiwat Province, Thailand","Gunmen killed 2 soldiers in Thailand.[22]","Unknown","South Thailand insurgency",7
"165","16","Spree shooting","5 (+1)","2","Chattanooga, United States","2015 Chattanooga shootings: 24-year-old Kuwaiti-born American Muhammad Abdulazeez opened fire on a U.S. military recruitment center and a U.S. Navy Reserve center in Chattanooga, Tennessee, killing 4 U.S. Marines and a sailor, and wounding a Marine and a Chattanooga police officer. An investigation revealed Abdulazeez had been radicalized online by foreign Islamic terror group.","Muhammad Abdulazeez (lone wolf)","",7
"166","17","Suicide bombing","64","0","Damaturu, Nigeria","Suicide bombers killed at least 64 people in multiple blasts in the northeastern towns of Gombe and Damaturu, Nigeria. (WSJ via AP)(Local 10) (BBC)","Unknown","Boko Haram insurgency",7
"167","17","Suicide bombing, car bomb","130","130","Khan Bani Saad, Iraq","Khan Bani Saad bombing: A car bomb was sent to a crowded market in Khan Bani Saad in Iraq, 30 km north to Baghdad, during the Eid al-Fitr celebrations. The explosion killed at least 100 (15 children among them) and injuring another 170 people and brought down several buildings. Islamic State claimed responsibility and said 180 people were killed.[23][24][25]","Islamic State","Iraqi Civil War",7
"168","20","Suicide bombing","32","Unknown","Suruc, Turkey","Suruç bombing: A suicide bomber attacked a Peoples' Democratic Party protest in Suruc, Turkey. Thirty-two were killed along with an unknown number of wounded. Islamic State was suspected to be behind the bombing.[26]","Islamic State","",7
"169","25","Suicide bombing","12","45","Tuz Khurmatu, Iraq","Two suicide bombers attacked a crowded swimming pool in Tuz Khurmatu, Iraq, causing at least 12 deaths and injuries to 45 others.[27]","Unknown","Iraq War",7
"170","26","Suicide bombing","16","50","Damaturu, Nigeria","A girl aged about 10 detonated a suicide bomb near a crowded market in Damaturu, Nigeria, killing at least 16 and injuring 50 others.[28]","Boko Haram","Boko Haram insurgency",7
"171","26","Suicide bombing","10-15","unknown","Mogadishu, Somalia","Jazeera Palace Hotel suicide bombing: A suicide bomber detonates a vehicle loaded with explosives at a hotel in the Somali capital of Mogadishu, killing 10-15 people and wounding several others.","Al-Shabaab","Somali Civil War",7
"172","26","Suicide bombing","20","70","Maroua, Cameroon","A 13-year-old female suicide bomber attacks in the Cameroonian town of Maroua, killing 20 people and injuring another 70.","Unknown","Boko Haram insurgency in Cameroon",7
"173","27","Mass shooting","10","8","Punjab, India","Gunmen dressed in Indian Army uniforms opened fire on a civilian bus and then took over a police station in the northern state of Punjab early on Monday, killing at least five people, the police said, in a region that has been mostly calm since India quelled a Sikh insurgency there two decades ago.[29]","Unknown","",7
"174","28","Bombing","2","6","Sitra, Bahrain","Two policemen were killed and six others injured in a bombing in the village of Sitra in Bahrain.[30]","Unknown","",7
"175","29","Suicide bombing, car bomb","12+","8","Ramadi, Iraq","A Humvee packed with explosives was rammed into Iraqi forces deployed outside of the University of Ramadi and detonated[31]","Islamic State (suspected)","Iraq War",7
"176","29","Suicide bombing, car bomb","6","4","Fallujah, Iraq","A Humvee packed with explosives was driven at paramilitary forces near Fallujah and detonated.[32]","Islamic State (suspected)","Iraq War",7
"177","30","Suicide bombing, car bomb","9","16","Baghdadi, Iraq","A suicide bomber in an explosive laden truck detonated at a military base outside the town of Baghdadi.[33]","Islamic State","Iraq War",7
"178","30","Suicide bombing, car bomb","5","8","Fallujah, Iraq","A suicide bomber rammed his explosive-packed truck into an outpost near al-Mazraa military camp during clashes with Islamic State in Iraq.[33]","Islamic State","Iraq War",7
"179","31","Arson","3","1","Duma, West Bank","Duma arson attack: Two masked men arrived at two houses in Duma and threw two Molotov cocktails into the houses. One of the houses was empty; in the other, the Daobasa family slept and the explosive burned the house, killing 18-months-old Ali Saad and severely wounding his parents and his 4-year-old brother.[34] The father of the family succumbed to his wounds on 8 August.[35]","Jewish gang","Israeli-Palestinian conflict",7
"180","31","Suicide bombing","8–10","11","Maiduguri, Nigeria","A suicide bomber detonated a tricycle in a crowded market in north-eastern Nigeria. Initially reported as a female suicide bomber by witnesses, experts later identified the attacker as male.[36][37]","Boko Haram
(suspected)","Boko Haram insurgency",7
"181","31","Suicide bombing, car bomb","9","Unknown","Qoton, Yemen","A car packed with explosives was detonated at a checkpoint near the city of Qoton in southeastern Yemen.[38][39]","Al-Qaeda in the Arabian Peninsula
(Suspected)","Yemeni Civil War",7
"182","31","Melee attack","1","5","Jerusalem, Israel","Thirty-nine-year-old Yishai Schlissel, an ultra-Orthodox Jew, stabbed six people in a Jerusalem gay pride parade. Among them was 16-year-old Shira Banki, who died from her wounds two days later. Shlissel had been recently released from prison after serving a ten-year sentence for stabbing three people in a similar gay pride parade in 2005.[40]","Yishai Schlissel
(lone wolf)","",7
"183","2","Suicide bombing","2","24","Doğubeyazıt, Turkey","A suicide attack by the PKK kills two Turkish Army soldiers and injures 24 in the Turkish town of Doğubeyazıt in Ağrı Province near the Iran border.[citation needed]","Kurdistan Workers' Party (PKK)","Turkey–PKK conflict",8
"184","3","Petrol bomb","0","3","Beit Hanina, Jerusalem","Unknown people threw a Molotov cocktail on a car in East Jerusalem. 27-year-old Israeli woman was injured in moderate condition with second-degree-burn in 15% of her body, 20-year-old man tried to put out the fire and was lightly injured and another man was lightly injured when the burned vehicle hit another vehicle.[41] 9 members of a Palestinians popular gang were arrested for the attack.[42]","Palestinian gang
(suspected)","Israeli-Palestinian conflict",8
"185","6","Vehicular assault","0","3 (+1)","West Bank","45-year-old Raid Mohammed Badwan drove his vehicle at three Israeli Soldiers who were patrolling in highway 60, close to Sinjil and north to Ramallah. Two were severely injured with head trauma and internal injuries. Another one was lightly injured with limb injuries. Other Israel Defense Forces (IDF) soldiers that were in the scene quickly shot and neutralized Badwan and he was also severely injured.[43]","Raid Mohammed Badwan (lone wolf)","Israeli-Palestinian conflict",8
"186","6","Suicide bombing","15","9","Abha, Saudi Arabia","2015 Abha mosque bombing: A suicide bomb attack kills at least 15 people at a mosque in the south-western Saudi city of Abha.[44]","Islamic State affiliate[45]","",8
"187","6","Suicide bombing","8","12","Pul-i-Alam, Afghanistan","A suicide bomber kills at least eight people and injures twelve in the city of Pul-i-Alam in Logar Province.[citation needed]","Unknown","War in Afghanistan",8
"188","7","Melee attack","1","0","Dhaka, Bangladesh","Attackers armed with machetes killed a known atheist blogger called Niloy Neel (Niloy Chatterjee) in Dhaka. Attack was attributed to a group of suspected members of banned Islamist Ansarullah Bangla Team including a British citizen.[46][47][48]","Ansarullah Bangla Team (suspected)","Internal conflict in Bangladesh",8
"189","7","Attack","13","0","Sévaré, Mali","Gunmen attacked a hotel in the town Sévaré in Mali. The perpetrators took several hostages. Islamist militants were behind the attack.[citation needed]","Unknown","Insurgency in the Maghreb",8
"190","7","Suicide bombing, car bomb","50+ (+1)","500+","Kabul, Afghanistan","August 2015 Kabul Bombing: A lone suicide bomber attacked recruits outside a police academy. A truck bomb was set off in a residential area in the city. A block was leveled, leaving a thirty foot deep crater. At least 50 people were killed with more than 500 wounded. Responsibility for the attack has not been claimed, but the Taliban is suspected.[49]","Taliban (suspected)","War in Afghanistan",8
"191","9","Shooting","3 (+1)","1","Port Said Governorate, Egypt","3 police die[50]","Unknown","Sinai insurgency",8
"192","9","Shooting","4","2","Nigeria","Suspected Boko Haram gunmen shot a car with 6 passenger, killing 4 of them and injuring the other 2.[51]","Boko Haram (Suspected)","Boko Haram insurgency",8
"193","9","Shooting","10","","Gaberi, Tombouctou Region, Mali","Gunmen killed at least 11 people.[52]","Unknown","Insurgency in the Maghreb",8
"194","9","Car bomb","3","13","Derna, Libya","At least 3 people die in car bombing in Derna[53]","Islamic State (suspected)","Libyan Civil War",8
"195","9","Melee weapon","0 (+1)","1","West Bank","A Palestinian man approached an 26-year-old Israeli civilian who was fueling his car on a Gas Station on Highway 443 and stabbed him, leaving him with light stabbing wounds on his upper body. IDF then opened fire at the terrorist and he died at the scene.[54]","Palestinian (lone wolf)","Israeli-Palestinian conflict",8
"196","10","Suicide bombing","50+","80+","Diyala Province, Iraq","Bombings in the predominantly Shia areas of the Diyala Province killed more than 50 people and wounded more than 80. Islamic State claimed responsibility for the attacks.[55]","Islamic State","Iraq War",8
"197","10","Suicide bombing","5","16","Kabul, Afghanistan","10 August 2015 Kabul suicide attack: 5 people died and more than 16 wounded in suicide attack in Kabul[56][57]","Taliban (suspected)","War in Afghanistan",8
"198","13","car bomb","76+","212","Baghdad, Iraq","2015 Baghdad market truck bombing: A refrigeration truck loaded with explosives was blown up in the center of a market in Baghdad's Sadr City. Followers of Shia Islam were targeted in the attack. Seventy-six were killed with two hundred and twelve wounded. Islamic State claimed responsibility for the attack.[58][59]","Islamic State","Iraq War",8
"199","15","Melee attack","0","1 (+1)","West Bank","Mahmoud Nasim Yousef Gumhouriyya arrived at a checkpoint in road 443 near Beit Horon and approached a group of Israeli soldiers when he pulled out a knife and stabbed one of the soldiers, leaving him with light wounds. Other forces there shot Gumhouriyya and neutralised him. The terrorist was injured in light condition. After an investigation, Gumhouriyya claimed he attacked out of rage after fighting his father. He succumbed to his wounds.[60]","Mahmoud Nasim Yousef Gumhouriyya (lone wolf)","Israeli-Palestinian conflict",8
"200","15","Melee attack","0 (+1)","1","Near Kfar Tapuach, West Bank","16-year-old Ahmad Kamal Rafik approached a team of fighters that was carrying out a routine check, then suddenly took out a knife and stabbed one of them multiple times in the back, leaving him with light stab wounds. A soldier standing next to him shot the attacker and neutralised him. The attack took place near the Tapuach Junction, which leads to Nablus, near the Tapuach settlement in the center of the West Bank.[61][62]","Ahmad Kamal Rafik (lone wolf)","Israeli-Palestinian conflict",8
"201","15","Bombing","20+","101+","Baghdad, Iraq","A series of bomb attacks in and around Baghdad killed at least 20 people and injured more than 100 on 15 August. Islamic State claimed responsibility for the attacks.[63]","Islamic State","Iraq War",8
"202","16","Suicide bombing","22","20","Attock District, Pakistan","2015 Attock bombing Two suspected suicide bombers detonated explosives in the home of Punjab Interior Minister Shuja Khanzada in the Attock District village of Shadikhan, killing the minister and at least 21 other people. Lashkar-e-Jhangvi (LeJ), a group associated with Al-Qaeda, claimed responsibility for the attack.","Lashkar-e-Jhangvi","War in North-West Pakistan",8
"203","17","Melee attack","0 (+1)","1","Near Kfar Tapuach, West Bank","22-year-old Abu-Amsha al-Atrash approached Israeli police officers at the checkpoint near Tapuach Junction and told them he was not feeling well. The officers then told the man to halt, but he continued to approach them, finally pulling out a knife and stabbing one of the officers, lightly wounding him. The Border Police opened fire, critically injuring the attacker who died of his wounds.[64] Palestinian sources claimed the attacker was an activist of the Palestinian Islamic Jihad[65]","Abu-Amsha al-Atrash (Palestinian Islamic Jihad)","Israeli-Palestinian conflict",8
"204","17","Bombing","21","123","Ratchaprasong Intersection, Bangkok","2015 Ratchaprasong bombing: Bomb attack outside the Erawan Shrine at the Ratchaprasong Intersection in Pathum Wan District, Bangkok, Thailand.[66][67]","Grey Wolves (suspected)","",8
"205","19","Car bomb","0","29","Cairo, Egypt","A car bomb detonated at 2:30am near a state security building injured 29 people including 6 policemen in Cairo, Egypt. Islamic State claimed responsibility for the attack.[68]","Islamic State","Sinai insurgency",8
"206","19","Bombing","8","","Siirt Province, Turkey","Eight soldiers were killed in a bomb attack in Turkey's south-eastern Siirt Province. Kurdistan Workers' Party was blamed for the attack.[69]","Kurdistan Workers' Party (PKK)","Turkey-PKK conflict",8
"207","21","Shooting Melee attack","0","3 (+1)"," France Oignies, Pas-de-Calais","2015 Thalys train attack: A man opened fire with an AKM assault rifle on a Thalys high speed train between Amsterdam and Paris. One person was shot in the neck. Two United States military personnel and their civilian friend intervened and stopped the attack continuing. One of them was cut in the struggle. Another passenger received glass cuts.[70]","Ayoub El Kahzani[71]","",8
"208","22","Car bomb","10+","60+","Kabul, Afghanistan","22 August 2015 Kabul suicide attack At least 10 people died and more than 60 wounded in suicide attack in Kabul[72][73]","Taliban (suspected)","War in Afghanistan",8
"209","24","Bombing","2","24","Beheira Governorate, Egypt","Two policemen were killed and 24 others injured when a bomb blast hit a vehicle carrying policemen in Beheira Governorate, Egypt.[74]","Unknown","Sinai insurgency",8
"210","26","Melee attack","0","1","East Jerusalem","Fifty-six-year-old Mahmoud Ata Muammar approached a Magav squad in Jerusalem and attacked them with an axe, managing to injure one of them. Ata Muammar was released in the third phase of the Gilad Shalit prisoner exchange after imprisoned for murdering Menahem Stern.[75]","Mahmoud Ata Muammar (lone wolf)","Israeli-Palestinian conflict",8
"211","31","Chemical","0","100+","Herat, Afghanistan","Local officials said more than 100 school girls were poisoned in western Herat province early Monday. The incident took place in Herat city when the girls were at school, said officials.[76]","Unknown","War in Afghanistan",8
"212","2","Car bomb","10","25","Latakia, Syria","A van filled with explosives was detonated in front of a school on the outskirts of Latakia, Bashar al Assad's stronghold, hurting 35 people, of them 10 dead. Syrian sources say this is the largest attack on Latakia since 2011.[77]","Unknown","Syrian Civil War",9
"213","3","Suicide bombing and car bomb","32","92","Sana'a, Yemen","Islamic State claimed that Qusai al-Sanaani blew himself up after sunset prayers inside the Al-Muayad mosque in the northern Jarraf district, home to many senior figures from the Shiite Houthi rebels that control Sana'a.
The militants said a bomb-laden vehicle parked nearby also exploded as medics arrived on the scene, bringing the death toll to at least 28 people and wounding some 75 more, according to medical officials.[78]","Islamic State","Yemeni Civil War",9
"214","3","Suicide bombing","10+","100+","Kerawa, Cameroon","Two suicide attacks occurred in the city of Kerawa in Cameroon, close to the Nigerian border. The first occurred in a market and the second 200 meteres from a military base. The attack killed at least 10 people and injured at least 100 people, mainly civilians. Authorities blame Boko Haram for the attack.[79]","Boko Haram (suspected)","Boko Haram insurgency",9
"215","4","Car bomb","26","50","Al-Suwayda, Syria","Two car bombs where detonated in Al suwayda, one in the outskirts and the second in a hospital, bringing the toll to 26 killed and 50 injured. The first attack killed Sheikh Wahid al-Balous, a prominent Druze cleric.[80] Pro government reported that a man called Wafi Abu Traba is suspected of the attack. He is said to be a member of al-Nusra Front.[81]","al-Nusra Front (Suspected)","Syrian Civil War",9
"216","11","Car bomb","2","unknown","Rafah, Egypt.","Ansar Bait al-Maqdis detonated a car bomb in Egyptian Rafah, killing a woman and a child, the Egyptian Army report. The attack occurred during Egypt's operation ""Right of the Martyr"" which have killed over 80 militants since the beginning of the week.[82][83]","Ansar Bait al-Maqdis (Islamic State)","Sinai Insurgency",9
